ID,L1_Name,L2_Name,L3_Name,Mcode,Date,Min,Max,Mean,Median,Std,Count
45,Indus,Trunk Indus,Trunk Indus,,2016-10-02,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-03,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-04,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-05,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-06,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-07,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-08,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-09,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-10,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-11,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-12,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-13,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-14,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-15,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-16,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-17,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-18,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-19,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-20,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-21,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-22,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-23,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-24,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-25,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-26,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-27,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-28,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-29,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-10-30,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-01,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-02,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-03,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-04,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-05,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-06,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-07,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-08,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-09,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-10,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-11,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-12,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-13,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-14,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-15,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-16,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-17,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-18,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-19,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-20,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-21,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-22,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-23,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-24,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-25,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-26,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-27,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-28,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-11-29,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-01,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-02,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-03,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-04,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-05,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-06,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-07,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-08,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-09,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-10,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-11,0.0,2.832,0.001,0.0,0.02,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2016-12-12,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-13,0.0,1.722,0.001,0.0,0.014,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2016-12-14,0.0,1.358,0.001,0.0,0.011,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2016-12-15,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-16,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-17,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-18,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-19,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-20,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-21,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-22,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-23,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-24,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-25,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-26,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-27,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-28,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-29,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2016-12-30,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-01,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-02,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-03,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-04,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-05,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-06,0.0,3.17,0.001,0.0,0.027,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-07,0.0,2.202,0.001,0.0,0.018,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-08,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-09,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-10,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-11,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-12,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-13,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2017-01-14,0.0,32.57,0.169,0.0,1.621,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-15,0.0,89.417,0.879,0.0,6.058,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-16,0.0,101.919,1.068,0.0,7.232,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-17,0.0,101.556,0.995,0.0,6.976,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-18,0.0,101.241,0.92,0.0,6.703,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-19,0.0,100.898,0.852,0.0,6.439,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-20,0.0,100.383,0.771,0.0,6.088,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-21,0.0,101.169,0.675,0.0,5.645,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-22,0.0,100.807,0.579,0.0,5.234,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-23,0.0,101.494,0.485,0.0,4.813,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-24,0.0,151.82,0.449,0.0,5.207,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-25,0.0,193.151,0.454,0.0,5.873,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-26,0.0,211.888,0.452,0.0,6.252,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-27,0.0,211.775,0.435,0.0,6.207,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-28,0.0,211.065,0.4,0.0,5.968,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-29,0.0,210.884,0.367,0.0,5.719,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-01-30,0.0,213.77,0.331,0.0,5.436,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-01,0.0,216.589,0.278,0.0,5.02,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-02,0.0,215.25,0.255,0.0,4.791,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-03,0.0,213.219,0.23,0.0,4.523,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-04,0.0,238.006,0.279,0.0,5.177,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-05,0.0,259.723,0.383,0.0,6.158,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-06,0.0,259.287,0.373,0.0,6.113,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-07,0.0,258.986,0.352,0.0,5.997,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-08,0.0,258.7,0.333,0.0,5.876,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-09,0.0,258.29,0.32,0.0,5.818,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-10,0.0,257.826,0.304,0.0,5.694,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-11,0.0,256.877,0.285,0.0,5.511,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-12,0.0,254.708,0.262,0.0,5.258,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-13,0.0,252.259,0.239,0.0,5.001,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-14,0.0,248.471,0.215,0.0,4.695,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-15,0.0,245.545,0.195,0.0,4.448,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-16,0.0,242.177,0.175,0.0,4.184,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-17,0.0,240.333,0.16,0.0,3.979,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-18,0.0,244.325,0.145,0.0,3.775,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-19,0.0,281.438,0.138,0.0,3.753,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-20,0.0,288.231,0.126,0.0,3.593,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-21,0.0,291.157,0.115,0.0,3.456,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-22,0.0,290.393,0.111,0.0,3.41,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-23,0.0,289.051,0.105,0.0,3.3,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-24,0.0,287.359,0.099,0.0,3.194,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-25,0.0,286.525,0.09,0.0,3.034,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-26,0.0,285.115,0.082,0.0,2.89,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-02-27,0.0,282.409,0.073,0.0,2.727,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-01,0.0,293.27,0.063,0.0,2.596,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-02,0.0,292.389,0.058,0.0,2.515,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-03,0.0,291.115,0.053,0.0,2.441,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-04,0.0,287.268,0.048,0.0,2.333,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-05,0.0,282.856,0.043,0.0,2.214,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-06,0.0,278.738,0.038,0.0,2.093,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-07,0.0,283.696,0.037,0.0,2.074,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-08,0.0,289.225,0.033,0.0,2.046,398867.0
45,Indus,Trunk Indus,Trunk Indus,,2017-03-09,0.0,288.074,0.03,0.0,1.996,398867.0
